时间,经度,纬度,传感器类型,L1A_1,L1A_2,L1A_3,信号源批号
2018042910354820,124.55029,26.37728836,L1,244.8107,320.1846,10.8,241
2018042910364910,124.5394395,26.37524289,L1,244.8107,320.1846,11.3,241
2018042910425820,124.5117184,26.33742116,L1,244.8107,320.1846,10.8,241
2018042910451150,124.4924636,26.32994861,L1,244.7744,320.1846,11,241
2018042910555860,124.4406281,26.26582271,L1,244.6527,320.2481,11.2,241
2018042910572840,124.4389088,26.25330012,L1,244.6527,320.2481,11,241
2018042911072770,124.3863015,26.19698044,L1,244.6527,320.4082,10.8,241
2018042911093300,124.3776319,26.18366246,L1,244.6527,320.4082,10.8,241
2018042911143290,124.3484109,26.15742707,L1,244.6527,320.4082,11.2,241
2018042911165270,124.3290495,26.14900901,L1,244.6527,320.4082,11,241
2018042911254860,124.2930996,26.09125617,L1,244.6527,320.4082,11,241
2018042911273240,124.2852609,26.08065435,L1,244.6527,320.4082,11,241
2018042910342412,124.557441,26.3853951,L1,289.9529,379.4386,0,379
2018042910394327,124.530224,26.35488,L1,289.6257,380.0697,0,379
2018042910413931,124.52033,26.3437849,L1,289.6257,380.0697,0,379
2018042910461980,124.496413,26.3169618,L1,289.6257,380.5435,0,379
2018042910515071,124.468176,26.285331,L1,289.6257,380.5435,0,379
2018042910524203,124.463805,26.2804154,L1,289.6257,380.5435,0,379
2018042910562760,124.444568,26.2588474,L1,289.6257,380.5435,0,379
2018042910574392,124.438063,26.2515538,L1,289.6257,380.5435,0,379
2018042911064524,124.391893,26.1997856,L1,289.6257,380.5435,0,379
2018042911124207,124.36146,26.1656697,L1,289.6257,380.5435,0,379
2018042911150422,124.349339,26.1520727,L1,289.6257,380.5435,0,379
2018042911161188,124.343564,26.1455995,L1,289.6257,380.5435,0,379
2018042911272197,124.286421,26.0815335,L1,289.6257,380.5435,0,379
2018042910381903,124.543676,26.3602248,L1,255.0442,330.2015,8.95,524
2018042910410371,124.529617,26.3444802,L1,254.7248,330.2015,9.17,524
2018042910422980,124.522282,26.3362509,L1,254.6752,330.2015,8.93,524
2018042910524295,124.469991,26.2776169,L1,254.6752,330.2015,9.29,524
2018042910534938,124.464327,26.2712652,L1,254.6752,330.2015,8.56,524
2018042910563456,124.45022,26.3054751,L1,254.6752,330.2015,8.87,524
2018042911044540,124.408377,26.2085382,L1,254.6752,330.3562,8.97,524
2018042911072819,124.394485,26.1929711,L1,254.6752,330.3562,9.01,524
2018042911102292,124.379595,26.176269,L1,254.6752,330.3562,9.02,524
2018042911110840,124.375715,26.1719222,L1,254.6752,330.3562,8.99,524
2018042911180193,124.340439,26.1323687,L1,254.6752,330.3562,8.99,524
2018042911203676,124.327248,26.1175614,L1,254.6752,330.4789,9.02,524
2018042911213094,124.322611,26.1123837,L1,254.6752,330.4789,9,524
2018042911230308,124.314767,26.103572,L1,254.6752,330.4789,8.74,524
2018042911300888,124.278445,26.0628641,L1,254.6752,330.4789,9.07,524
2018042911303971,124.275813,26.0599171,L1,254.6493,330.4789,8.94,524
2018042910312212,122.935242,26.8658388,L1,295.1327,389.7483,8.07,658
2018042910380883,122.960367,26.9195664,L1,294.2063,389.7483,7.86,658
2018042910405359,122.97054,26.9413341,L1,294.2063,390.35,7.85,658
2018042910563635,123.028821,27.0658885,L1,294.2063,390.35,8.01,658
2018042910571904,123.031448,27.07153,L1,294.2063,390.35,8.16,658
2018042911004985,123.044484,27.0993741,L1,294.2063,390.35,8.36,658
2018042911060490,123.063945,27.141,L1,294.2063,390.35,7.83,658
2018042911084532,123.073877,27.1621881,L1,294.2063,390.35,8.06,658
2018042911100900,123.079032,27.1732452,L1,294.2063,390.35,7.77,658
2018042911111433,123.083074,27.1818692,L1,294.2063,390.35,8.08,658
2018042911140311,123.093507,27.20417,L1,294.2063,390.35,7.83,658
2018042911191426,123.112725,27.2452745,L1,294.2063,390.35,8.03,658
2018042911230635,123.127072,27.2759208,L1,294.2063,390.35,7.91,658
